,Sentence_id,Word,POS,Tag
0,1.0,Thousands,NNS,0
1,,of,IN,0
2,,demonstrators,NNS,0
3,,have,VBP,0
4,,marched,VBN,0
5,,through,IN,0
6,,London,NNP,7
7,,to,TO,0
8,,protest,VB,0
9,,the,DT,0
10,,war,NN,0
11,,in,IN,0
12,,Iraq,NNP,7
13,,and,CC,0
14,,demand,VB,0
15,,the,DT,0
16,,withdrawal,NN,0
17,,of,IN,0
18,,British,JJ,3
19,,troops,NNS,0
20,,from,IN,0
21,,that,DT,0
22,,country,NN,0
23,,.,.,0
24,2.0,Families,NNS,0
25,,of,IN,0
26,,soldiers,NNS,0
27,,killed,VBN,0
28,,in,IN,0
29,,the,DT,0
30,,conflict,NN,0
31,,joined,VBD,0
32,,the,DT,0
33,,protesters,NNS,0
34,,who,WP,0
35,,carried,VBD,0
36,,banners,NNS,0
37,,with,IN,0
38,,such,JJ,0
39,,slogans,NNS,0
40,,as,IN,0
41,,"""",``,0
42,,Bush,NNP,1
43,,Number,NN,0
44,,One,CD,0
45,,Terrorist,NN,0
46,,"""",``,0
47,,and,CC,0
48,,"""",``,0
49,,Stop,VB,0
50,,the,DT,0
51,,Bombings,NNS,0
52,,.,.,0
53,,"""",``,0
54,3.0,They,PRP,0
55,,marched,VBD,0
56,,from,IN,0
57,,the,DT,0
58,,Houses,NNS,0
59,,of,IN,0
60,,Parliament,NN,0
61,,to,TO,0
62,,a,DT,0
63,,rally,NN,0
64,,in,IN,0
65,,Hyde,NNP,7
66,,Park,NNP,8
67,,.,.,0
68,4.0,Police,NNS,0
69,,put,VBD,0
70,,the,DT,0
71,,number,NN,0
72,,of,IN,0
73,,marchers,NNS,0
74,,at,IN,0
75,,"10,000",CD,0
76,,while,IN,0
77,,organizers,NNS,0
78,,claimed,VBD,0
79,,it,PRP,0
80,,was,VBD,0
81,,"1,00,000",CD,0
82,,.,.,0
83,5.0,The,DT,0
84,,protest,NN,0
85,,comes,VBZ,0
86,,on,IN,0
87,,the,DT,0
88,,eve,NN,0
89,,of,IN,0
90,,the,DT,0
91,,annual,JJ,0
92,,conference,NN,0
93,,of,IN,0
94,,Britain,NNP,7
95,,'s,POS,0
96,,ruling,VBG,0
97,,Labor,NNP,15
98,,Party,NNP,16
99,,in,IN,0
100,,the,DT,0
101,,southern,JJ,0
102,,English,JJ,3
103,,seaside,NN,0
104,,resort,NN,0
105,,of,IN,0
106,,Brighton,NNP,7
107,,.,.,0
108,6.0,The,DT,0
109,,party,NN,0
110,,is,VBZ,0
111,,divided,VBN,0
112,,over,IN,0
113,,Britain,NNP,3
114,,'s,POS,0
115,,participation,NN,0
116,,in,IN,0
117,,the,DT,0
118,,Iraq,NNP,7
119,,conflict,NN,0
120,,and,CC,0
121,,the,DT,0
122,,continued,JJ,0
123,,deployment,NN,0
124,,of,IN,0
125,,"8,500",CD,0
126,,British,JJ,3
127,,troops,NNS,0
128,,in,IN,0
129,,that,DT,0
130,,country,NN,0
131,,.,.,0
132,7.0,The,DT,0
133,,London,NNP,7
134,,march,NN,0
135,,came,VBD,0
136,,ahead,RB,0
137,,of,IN,0
138,,anti-war,JJ,0
139,,protests,NNS,0
140,,today,NN,0
141,,in,IN,0
142,,other,JJ,0
143,,cities,NNS,0
144,,",",",",0
145,,including,VBG,0
146,,Rome,NNP,7
147,,",",",",0
148,,Paris,NNP,7
149,,",",",",0
150,,and,CC,0
151,,Madrid,NNP,7
152,,.,.,0
153,8.0,The,DT,0
154,,International,NNP,15
155,,Atomic,NNP,16
156,,Energy,NNP,16
157,,Agency,NNP,16
158,,is,VBZ,0
159,,to,TO,0
160,,hold,VB,0
161,,second,JJ,0
162,,day,NN,0
163,,of,IN,0
164,,talks,NNS,0
165,,in,IN,0
166,,Vienna,NNP,7
167,,Wednesday,NNP,13
168,,on,IN,0
169,,how,WRB,0
170,,to,TO,0
171,,respond,VB,0
172,,to,TO,0
173,,Iran,NNP,3
174,,'s,POS,0
175,,resumption,NN,0
176,,of,IN,0
177,,low-level,JJ,0
178,,uranium,NN,0
179,,conversion,NN,0
180,,.,.,0
181,9.0,Iran,NNP,3
182,,this,DT,0
183,,week,NN,0
184,,restarted,VBD,0
185,,parts,NNS,0
186,,of,IN,0
187,,the,DT,0
188,,conversion,NN,0
189,,process,NN,0
190,,at,IN,0
191,,its,PRP$,0
192,,Isfahan,NNP,7
193,,nuclear,JJ,0
194,,plant,NN,0
195,,.,.,0
196,10.0,Iranian,JJ,3
197,,officials,NNS,0
198,,say,VBP,0
199,,they,PRP,0
200,,expect,VBP,0
201,,to,TO,0
202,,get,VB,0
203,,access,NN,0
204,,to,TO,0
205,,sealed,JJ,0
206,,sensitive,JJ,0
207,,parts,NNS,0
208,,of,IN,0
209,,the,DT,0
210,,plant,NN,0
211,,Wednesday,NNP,13
212,,",",",",0
213,,after,IN,0
214,,an,DT,0
215,,IAEA,NNP,15
216,,surveillance,NN,0
217,,system,NN,0
218,,begins,VBZ,0
219,,functioning,VBG,0
220,,.,.,0
221,12.0,The,DT,0
222,,European,NNP,15
223,,Union,NNP,16
224,,",",",",0
225,,with,IN,0
226,,U.S.,NNP,3
227,,backing,NN,0
228,,",",",",0
229,,has,VBZ,0
230,,threatened,VBN,0
231,,to,TO,0
232,,refer,VB,0
233,,Iran,NNP,3
234,,to,TO,0
235,,the,DT,0
236,,U.N.,NNP,15
237,,Security,NNP,16
238,,Council,NNP,16
239,,",",",",0
240,,which,WDT,0
241,,could,MD,0
242,,impose,VB,0
243,,sanctions,NNS,0
244,,if,IN,0
245,,it,PRP,0
246,,finds,VBZ,0
247,,Tehran,NNP,3
248,,has,VBZ,0
249,,violated,VBN,0
250,,the,DT,0
251,,Nuclear,NNP,11
252,,Non-Proliferation,NNP,12
253,,treaty,NN,0
254,,.,.,0
255,13.0,Iran,NNP,3
256,,'s,POS,0
257,,new,JJ,0
258,,President,NNP,1
259,,Mahmoud,NNP,2
260,,Ahmadinejad,NNP,2
261,,said,VBD,0
262,,Tuesday,NNP,13
263,,that,IN,0
264,,European,JJ,3
265,,incentives,NNS,0
266,,aimed,VBN,0
267,,at,IN,0
268,,persuading,VBG,0
269,,Iran,NNP,3
270,,to,TO,0
271,,end,VB,0
272,,its,PRP$,0
273,,nuclear,JJ,0
274,,fuel,NN,0
275,,program,NN,0
276,,are,VBP,0
277,,an,DT,0
278,,insult,NN,0
279,,to,TO,0
280,,the,DT,0
281,,Iranian,JJ,3
282,,nation,NN,0
283,,.,.,0
284,14.0,Two,CD,0
285,,Germans,NNS,3
286,,and,CC,0
287,,four,CD,0
288,,Nigerian,JJ,3
289,,oil,NN,0
290,,workers,NNS,0
291,,were,VBD,0
292,,kidnapped,VBN,0
293,,by,IN,0
294,,armed,JJ,0
295,,militants,NNS,0
296,,during,IN,0
297,,a,DT,0
298,,raid,NN,0
299,,on,IN,0
300,,a,DT,0
301,,boat,NN,0
302,,in,IN,0
303,,Nigeria,NNP,7
304,,'s,POS,0
305,,southern,JJ,0
306,,oil-rich,JJ,0
307,,Delta,NNP,7
308,,region,NN,0
309,,.,.,0
310,15.0,An,DT,0
311,,official,NN,0
312,,with,IN,0
313,,the,DT,0
314,,German,JJ,3
315,,firm,NN,0
316,,Bilfinger,NNP,15
317,,Berger,NNP,16
318,,",",",",0
319,,Thomas,NNP,1
320,,Horbach,NNP,2
321,,",",",",0
322,,said,VBD,0
323,,the,DT,0
324,,gunmen,NNS,0
325,,stopped,VBD,0
326,,the,DT,0
327,,supply,NN,0
328,,boat,NN,0
329,,Wednesday,NNP,13
330,,as,IN,0
331,,it,PRP,0
332,,sailed,VBD,0
333,,from,IN,0
334,,Delta,NNP,7
335,,State,NNP,8
336,,to,TO,0
337,,Bayelsa,NNP,7
338,,State,NNP,8
339,,to,TO,0
340,,inspect,VB,0
341,,an,DT,0
342,,offshore,JJ,0
343,,oil,NN,0
344,,field,NN,0
345,,owned,VBN,0
346,,by,IN,0
347,,Royal-Dutch,NNP,15
348,,Shell,NNP,16
349,,.,.,0
350,17.0,Militant,JJ,0
351,,groups,NNS,0
352,,frequently,RB,0
353,,attack,VBP,0
354,,oil,NN,0
